 Country ;Year ;AMA ;IMF ;Population ; Exports ; Final_consumption ; General_government ; Gross_capital ; Gross_fixed_capital ; Household_consumption ; Imports ; Total Value;GDP 
 Afghanistan ;1970;0.044998427;0.044998427;10752971;165618722;1663221269;112126986;94611818;94611818;1551094283;195277226;1731454254;1731435587
 Afghanistan ;1971;0.044998427;0.044998427;11015857;193580300;1796541240;121114833;99012350;99012350;1675426407;276296480;1812857077;1812837521
 Afghanistan ;1972;0.044998427;0.044998427;11286753;227654380;1607159399;108347543;103456794;103456794;1498811856;290370350;1647917912;1647900178
 Afghanistan ;1973;0.044998427;0.044998427;11575305;226913554;1617037233;109013455;121728433;121728433;1508023800;262962880;1702734673;1702716294
 Afghanistan ;1974;0.044998427;0.044998427;11869879;284938449;1907408182;128588961;175061875;175061875;1778819221;305679151;2061751510;2061729287
 Afghanistan ;1975;0.044998427;0.044998427;12157386;300493815;2131358499;143686711;221728484;221728484;1987671788;333827202;2319778374;2319753506
 Afghanistan ;1976;0.044998427;0.044998427;12425267;329382802;2232098998;150478171;322716302;322716302;2081620805;370617399;2513608060;2513580659
 Afghanistan ;1977;0.044998427;0.044998427;12687301;342962988;2584198550;174215156;362716078;362716078;2409983394;424938409;2864969897;2864939207
 Afghanistan ;1978;0.044998427;0.044998427;12938862;354814847;2883951161;194423174;437531071;437531071;2689527987;453333379;3222997856;3222963833
 Afghanistan ;1979;0.043730753;0.043730753;12986369;424287344;3241236374;218509730;487588175;487588175;3022726644;522344151;3630809406;3630767856
 Afghanistan ;1980;0.044129167;0.044129167;12486631;421868016;3268912030;220375496;482304575;482304575;3048536534;526287844;3646833941;3646796868
 Afghanistan ;1981;0.049479902;0.049479902;11155195;391421266;3066531139;206731957;459513054;459513054;2859799183;489983587;3427516574;3427482014
 Afghanistan ;1982;0.050599608;0.050599608;10088289;396355483;3069066293;206902671;458169539;458169539;2862163623;492946310;3430693404;3430645143
 Afghanistan ;1983;0.050599608;0.050599608;9951449;392422843;3051150067;205694993;454250259;454250259;2845455074;489618656;3408226352;3408204613
 Afghanistan ;1984;0.050599606;0.050599606;10243686;387309317;3014873729;203249684;450192119;450192119;2811624045;483264293;3369144034;3369110951
 Afghanistan ;1985;0.050599605;0.050599605;10512221;383698586;2980427397;200926508;444575108;444575108;2779500889;478235489;3330552065;3330465681
 Afghanistan ;1986;0.050599605;0.050599605;10448442;382241974;2972187313;200372077;443219663;443219663;2771815237;476760181;3320833313;3320888887
 Afghanistan ;1987;0.050599605;0.050599605;10322758;343396018;2670212843;180014902;398399906;398399906;2490197941;428265396;2983799044;2983743471
 Afghanistan ;1988;0.050599605;0.050599605;10383460;312460283;2428768984;163733965;362286205;362286205;2265035019;389616063;2713843954;2713899488
 Afghanistan ;1989;0.050599605;0.050599605;10673168;367371146;2856286844;192562075;426055201;426055201;2663724769;458156222;3191457087;3191557068
 Afghanistan ;1990;0.050599605;0.050599605;10694796;409739639;3185532001;214757900;475208015;475208015;2970774120;510968017;3559489503;3559511736
 Afghanistan ;1991;0.050599605;0.050599605;10745167;451898050;3144186224;211948590;451305892;451305892;2932237634;644734732;3402654940;3402654940
 Afghanistan ;1992;0.050599605;0.050599605;12057433;538992070;3317143798;223656310;452868098;452868098;3093487489;864291208;3444711434;3444711414
 Afghanistan ;1993;0.050599605;0.050599605;14003760;507296032;2841479970;191563945;370886233;370886233;2649916025;875217835;2844442641;2844442641
 Afghanistan ;1994;0.425099934;0.425099934;15455555;354798182;1793838215;120873832;221231043;221231043;1672964383;654696712;1715169169;1715169169
 Afghanistan ;1995;0.833333333;0.833333333;16418912;631234333;2983570664;201339451;352587313;352587313;2782231213;1210551146;2756838035;2756838036
 Afghanistan ;1996;25.000.225;25.000.225;17106595;672996346;2990856755;201511058;338414037;338414037;2789345697;1332477843;2633888330;2669785634
 Afghanistan ;1997;300.003;300.003;17788819;797679423;3375758150;227197972;367733720;367733720;3148560178;1616577339;2862311421;2924589326
 Afghanistan ;1998;3.000.052.503;3.000.052.503;18493132;866499830;3496423195;236722323;365811290;365811290;3259700871;1793589592;2865878832;2935139404
 Afghanistan ;1999;4.661.953.108;4.661.953.108;19262847;697281390;2669154263;178828421;265877102;265877102;2490325841;1475110911;2121126845;2157197316
 Afghanistan ;2000;4.735.757.473;4.735.757.473;19542982;1145416949;4242373762;284430763;408699474;408699474;3957942999;2454448335;3332167837;3342034168
